"L11" "L21" "A1" "L12" "L22" "A2" "L13" "L23" "A3" "C1" "C2" "C3" "Y" "weight_freq"
0 -0.375602871669773 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.561876363549783 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.343917234128459 1 1 -0.805329005787122 1 1 -2.55082979307755 1 0 0 0 0 0.785401370295744
1 0.0904966471392212 1 1 -1.77543017572181 1 1 -2.28499967241253 0 0 0 0 0 0.721485387552394
1 1.59850877114583 1 1 0.560446839784701 1 0 2.17871365202223 0 0 0 0 1 6.28067891239777
0 -0.088565112138884 0 0 1.47986025410937 0 1 0.702515113420635 0 0 0 0 1 2.11449106834368
1 1.08079949615152 1 0 0.274868046208586 1 0 0.550925913547613 1 0 0 0 1 4.19401279861363
1 0.630754115650567 1 1 -0.192622571035788 1 1 -0.980837783782623 1 0 0 0 1 1.50375042937346
1 -0.113639895506141 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -1.5329020028906 1 0 -0.698052470575771 0 1 -0.40175304427586 1 0 0 0 1 0.800628995218703
1 -0.52111731755252 0 0 -1.53112919366665 0 1 0.598357358848134 1 0 0 0 0 0.660393145498588
0 -0.489870453138474 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.0471544327615272 1 1 -0.719775552112991 1 1 -2.76894794473819 0 0 0 0 0 0.960430768755645
1 1.30019867766682 0 1 0.415505833034372 0 NA NA NA 0 0 1 NA NA
0 2.29307897383109 1 1 3.01159501891836 1 0 0.568063482964862 1 0 0 0 1 13.8195780378414
1 1.54758105898377 1 1 -1.14255677840001 1 NA NA NA 0 0 1 NA NA
0 -0.133150964328944 0 0 0.104330841184572 0 1 0.176543687071593 1 0 0 0 0 1.14011121566668
0 -1.75652739555764 1 1 -0.573210604156625 1 0 0.467135541754794 0 0 0 0 1 1.43029232746796
0 -0.388779864071743 1 0 0.356202912080013 0 NA NA NA 0 0 1 NA NA
1 0.0892072230732945 1 1 -0.666120873122676 1 1 -1.38208591622111 0 0 0 0 1 1.09993845413907
1 0.845013004067436 0 1 -0.520749639395534 1 NA NA NA 0 0 1 NA NA
1 0.962527968484271 1 0 -0.284520067627852 0 NA NA NA 0 0 1 NA NA
1 0.684309429416465 0 1 2.08191070664539 1 1 2.02571458457663 1 0 0 0 0 4.03475092420141
1 -1.39527434979947 1 1 -0.914898166723901 0 0 -0.510865066558442 1 0 0 0 1 0.961868323622866
1 0.849643045633355 1 0 -2.3196555497414 1 1 -3.68968486780029 1 0 0 0 1 0.754270952676851
1 -0.446557216427222 1 NA NA NA NA NA NA 0 1 NA NA NA
1 0.174802700161256 0 0 0.427904010995709 0 0 -1.41841992128918 1 0 0 0 1 1.68922294864885
1 0.0745511771737346 1 0 -0.696296183250658 0 0 -2.52650339771993 0 0 0 0 0 1.2802965788706
0 0.428166764970505 0 0 0.196219761375154 1 1 -0.342681468224814 1 0 0 0 1 1.44467063410876
0 0.0246749828261399 1 NA NA NA NA NA NA 0 1 NA NA NA
1 -1.66747509758566 1 1 -1.27717806783758 1 1 -2.1000159225841 1 0 0 0 1 0.614008398982473
1 0.736495964773442 1 1 -0.835618950650295 0 1 -1.94665180144909 1 0 0 0 1 1.04397664464488
1 0.386026568349676 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.265651625278222 1 1 -1.76418183745985 0 0 -2.63261619108041 1 0 0 0 0 0.733197980235635
0 0.118144511046681 0 NA NA NA NA NA NA 0 1 NA NA NA
0 0.134038645368463 1 1 0.673856743350677 1 0 0.211431376783646 0 0 0 0 1 2.99239030623812
1 0.221019468561002 0 1 0.419715847934302 1 1 -2.08543358559906 1 0 0 0 1 1.1735860722618
0 1.64084616597749 1 1 1.35417275943986 1 1 -0.646982481850778 0 0 0 0 0 3.16583532200055
0 -0.219050378933476 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.168065383884658 1 NA NA NA NA NA NA 0 1 NA NA NA
0 1.16838387306909 0 0 1.20144223925661 0 NA NA NA 0 0 1 NA NA
0 1.05418102337692 0 0 -0.540914356044825 1 1 -0.35321695404441 1 0 0 0 0 1.25497581096616
0 1.14526311038036 0 0 2.13844589224864 0 NA NA NA 0 0 1 NA NA
0 -0.577468001059557 0 1 -1.32354201151504 1 NA NA NA 0 0 1 NA NA
0 2.00248273029283 1 1 0.665760073652254 0 1 0.905445405439751 1 0 0 0 1 2.84046158818787
0 0.066700870930183 1 NA NA NA NA NA NA 0 1 NA NA NA
0 1.86685184470686 1 1 0.555096224320286 1 0 -0.78487881315504 0 0 0 0 1 3.59992807084216
0 -1.35090268603071 1 NA NA NA NA NA NA 0 1 NA NA NA
0 0.0209835863542375 0 0 0.460428580323323 1 1 -0.37886558595647 1 0 0 0 0 1.47515721387062
1 1.24991457096922 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.715242187222796 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.752688968217742 1 1 -1.53091312222212 0 1 0.0490945902120252 1 0 0 0 1 0.636219902241312
1 -0.938538703606894 0 0 -0.726593455651227 1 0 -0.705249565760428 1 0 0 0 0 1.17834548996034
0 -1.05251327933874 1 1 0.230491180687678 1 NA NA NA 0 0 1 NA NA
1 -0.437159533180399 0 1 1.16887437327434 1 0 0.100363392866709 1 0 0 0 1 2.63979651246764
0 0.331179172958982 0 1 0.485071049024237 1 1 -0.616171948695729 1 0 0 0 1 1.27778673551482
0 -2.01421049792072 0 1 -0.625513626267212 0 1 0.159097060267509 1 0 0 0 1 0.532117749880082
1 0.211980433372292 0 0 -0.337654666953299 0 0 1.93773126827432 0 0 0 0 1 2.0175651659206
1 1.23667504641657 0 0 0.466390607261319 0 0 -1.2827048274322 0 0 0 0 0 2.20728666368249
0 2.03757401824044 NA NA NA NA NA NA NA 1 NA NA NA NA
1 1.30117599220059 1 0 0.240521724996058 1 1 -0.518502077844373 0 0 0 0 1 2.53536213823318
0 0.756774763795962 1 1 -0.657166200395764 1 0 -3.16478810058165 1 0 0 0 1 1.29876935503195
0 -1.72673039911433 0 0 -0.528686426456616 1 0 -0.795563209188467 1 0 0 0 1 1.02857018279376
0 -0.601506708006782 0 1 -0.646734693157893 1 1 -1.61653638449138 1 0 0 0 0 0.648422754637477
1 -0.352046456582617 1 1 -1.53763896312776 1 0 0.766783287015763 0 0 0 0 0 1.5105550339973
0 0.703523902756894 0 1 0.132650574576401 0 1 -3.05165092659516 1 0 0 0 1 0.93860798889923
1 -0.105671334003774 1 1 -1.11974057763559 1 1 0.228350879389687 1 0 0 0 0 1.07780909863977
1 -1.25864862806017 NA NA NA NA NA NA NA 1 NA NA NA NA
1 1.68443570809411 0 0 0.851425936484185 1 1 0.66080459786239 0 0 0 0 1 3.01027163199737
0 0.911391291795963 1 1 0.388187072051197 0 0 0.140905528750403 0 0 0 0 1 2.50485295403741
1 0.237430272491026 1 0 -1.82213844955526 1 0 -2.12186951998183 1 0 0 0 1 1.09136305453839
1 1.21810861032581 0 0 1.90587601479092 1 0 1.55856940817708 0 0 0 0 0 7.86130826324641
